Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
8,1969,RP,Joe Moeller,26,1,0,1.0,3.33,23,4,11,0,0,1,51.1,54,23,19,4,13,0,25,0,0,5,213,100,3.31,1.305,9.5,0.7,2.3,4.4,1.92,Right,No
9,1969,RP,Al McBean,31,2,6,0.25,3.91,31,0,18,0,0,4,48.1,46,22,21,6,21,4,26,2,0,4,208,85,4.47,1.386,8.6,1.1,3.9,4.8,1.24,Right,No
10,1969,RP,Ray Lamb,24,0,1,0.0,1.8,10,0,5,0,0,1,15.0,12,3,3,2,7,0,11,0,0,0,60,190,4.18,1.267,7.2,1.2,4.2,6.6,1.57,Right,No
11,1969,,Jim Bunning,37,3,1,0.75,3.36,9,9,0,1,0,0,56.1,65,23,21,5,10,0,33,1,0,0,238,99,3.08,1.331,10.4,0.8,1.6,5.3,3.3,Right,No
12,1969,,John Purdin,26,0,0,0.0,6.06,9,0,5,0,0,0,16.1,19,11,11,7,12,1,6,0,1,2,79,56,9.55,1.898,10.5,3.9,6.6,3.3,0.5,Right,No
13,1969,,Bobby Darwin,26,0,0,0.0,9.82,3,0,1,0,0,0,3.2,4,4,4,0,5,0,0,2,0,2,21,38,8.24,2.455,9.8,0.0,12.3,0.0,0.0,Right,No
14,1969,,Jack Jenkins,26,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0,0.51,0.0,0.0,0.0,0.0,9.0,0.0,Right,No
1,1968,SP,Bill Singer,24,13,17,0.433,2.88,37,36,0,12,6,0,256.1,227,97,82,14,78,10,227,5,1,12,1061,96,2.3,1.19,8.0,0.5,2.7,8.0,2.91,Right,No
2,1968,SP,Claude Osteen,28,12,18,0.4,3.08,39,36,1,5,3,0,254.0,267,109,87,14,54,10,119,5,0,4,1053,89,2.86,1.264,9.5,0.5,1.9,4.2,2.2,Left,No
3,1968,SP,Don Drysdale,31,14,12,0.538,2.15,31,31,0,12,8,0,239.0,201,68,57,11,56,10,155,12,0,4,954,128,2.54,1.075,7.6,0.4,2.1,5.8,2.77,Right,No
4,1968,SP,Don Sutton,23,11,15,0.423,2.6,35,27,6,7,2,1,207.2,179,64,60,6,59,14,162,2,3,4,847,106,2.08,1.146,7.8,0.3,2.6,7.0,2.75,Right,No
5,1968,SP,Mike Kekich,23,2,10,0.167,3.91,25,20,1,1,1,0,115.0,116,54,50,9,46,0,84,1,3,0,493,71,3.17,1.409,9.1,0.7,3.6,6.6,1.83,Left,No
6,1968,CL,Jim Brewer,30,8,3,0.727,2.49,54,0,39,0,0,15,76.0,59,22,21,5,33,13,75,0,0,2,311,111,2.57,1.211,7.0,0.6,3.9,8.9,2.27,Left,No
7,1968,RP,Mudcat Grant,32,6,4,0.6,2.08,37,4,19,1,0,3,95.0,77,29,22,1,19,3,35,6,0,3,378,133,2.57,1.011,7.3,0.1,1.8,3.3,1.84,Right,No
8,1968,RP,Jack Billingham,25,3,0,1.0,2.14,50,1,26,0,0,8,71.1,54,18,17,0,30,9,46,2,0,6,293,129,2.44,1.178,6.8,0.0,3.8,5.8,1.53,Right,No
9,1968,RP,John Purdin,25,2,3,0.4,3.07,35,1,13,0,0,2,55.2,42,22,19,2,21,7,38,0,0,3,231,90,2.62,1.132,6.8,0.3,3.4,6.1,1.81,Right,No
10,1968,RP,Hank Aguirre,37,1,2,0.333,0.69,25,0,16,0,0,3,39.0,32,8,3,0,13,3,25,3,0,4,167,402,2.33,1.154,7.4,0.0,3.0,5.8,1.92,Left,No
11,1968,,Joe Moeller,25,1,1,0.5,5.06,3,3,0,0,0,0,16.0,17,10,9,1,2,0,11,1,0,1,67,56,2.39,1.188,9.6,0.6,1.1,6.2,5.5,Right,No
12,1968,,Alan Foster,21,1,1,0.5,1.72,3,3,0,0,0,0,15.2,11,4,3,1,2,0,10,0,0,0,57,165,2.32,0.83,6.3,0.6,1.1,5.7,5.0,Right,No
13,1968,,Phil Regan,31,2,0,1.0,3.52,5,0,2,0,0,0,7.2,10,3,3,1,1,0,7,0,0,0,34,84,2.65,1.435,11.7,1.2,1.2,8.2,7.0,Right,No
14,1968,,Vicente Romo,25,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0,5,0,2.39,1.0,9.0,0.0,0.0,0.0,0.0,Right,No
1,1967,SP,Claude Osteen,27,17,17,0.5,3.22,39,39,0,14,5,0,288.1,298,116,103,19,52,10,152,2,0,4,1187,96,2.9,1.214,9.3,0.6,1.6,4.7,2.92,Left,No
2,1967,SP,Don Drysdale,30,13,16,0.448,2.74,38,38,0,9,3,0,282.0,269,101,86,19,60,19,196,8,2,5,1151,112,2.75,1.167,8.6,0.6,1.9,6.3,3.27,Right,No
3,1967,SP,Don Sutton,22,11,15,0.423,3.95,37,34,2,11,3,1,232.2,223,106,102,18,57,9,169,6,0,3,962,78,2.9,1.203,8.6,0.7,2.2,6.5,2.96,Right,No
4,1967,SP,Bill Singer,23,12,8,0.6,2.64,32,29,1,7,3,0,204.1,185,68,60,5,61,11,169,8,3,10,854,117,2.22,1.204,8.1,0.2,2.7,7.4,2.77,Right,No
5,1967,CL,Ron Perranoski,31,6,7,0.462,2.45,70,0,47,0,0,16,110.0,97,36,30,4,45,13,75,3,0,3,464,126,2.96,1.291,7.9,0.3,3.7,6.1,1.67,Left,No
6,1967,RP,Jim Brewer,29,5,4,0.556,2.68,30,11,6,0,0,1,100.2,78,32,30,8,31,7,74,1,0,3,397,115,3.06,1.083,7.0,0.7,2.8,6.6,2.39,Left,No
7,1967,RP,Phil Regan,30,6,9,0.4,2.99,55,3,28,0,0,6,96.1,108,38,32,2,32,17,53,2,1,5,430,103,2.77,1.453,10.1,0.2,3.0,5.0,1.66,Right,No
8,1967,RP,Bob Miller,28,2,9,0.182,4.31,52,4,22,0,0,0,85.2,88,46,41,9,27,9,32,3,1,3,363,72,4.21,1.342,9.2,0.9,2.8,3.4,1.19,Right,No
9,1967,RP,Dick Egan,30,1,1,0.5,6.25,20,0,7,0,0,0,31.2,34,25,22,3,15,4,20,4,0,2,148,50,4.31,1.547,9.7,0.9,4.3,5.7,1.33,Left,No
10,1967,,Alan Foster,20,0,1,0.0,2.16,4,2,0,0,0,0,16.2,10,4,4,0,3,0,15,0,0,0,62,146,1.28,0.78,5.4,0.0,1.6,8.1,5.0,Right,No
11,1967,,John Duffie,21,0,2,0.0,2.79,2,2,0,0,0,0,9.2,11,6,3,1,4,1,6,0,0,0,44,116,3.88,1.552,10.2,0.9,3.7,5.6,1.5,Right,No
12,1967,,Bob Lee,29,0,0,0.0,5.4,4,0,4,0,0,0,6.2,6,8,4,2,3,0,2,1,0,0,32,61,7.64,1.35,8.1,2.7,4.1,2.7,0.67,Right,No
13,1967,,Joe Moeller,24,0,0,0.0,9.0,6,0,2,0,0,0,5.0,9,5,5,1,3,1,2,0,1,1,27,38,6.14,2.4,16.2,1.8,5.4,3.6,0.67,Right,No
14,1967,,Jim Hickman,30,0,0,0.0,4.5,1,0,1,0,0,0,2.0,2,1,1,1,0,0,0,0,0,0,7,85,9.04,1.0,9.0,4.5,0.0,0.0,0.0,Right,No
15,1967,,Bruce Brubaker,25,0,0,0.0,20.25,1,0,1,0,0,0,1.1,3,3,3,1,0,0,2,0,0,0,7,21,9.29,2.25,20.3,6.8,0.0,13.5,0.0,Right,No
1,1966,SP,Sandy Koufax,30,27,9,0.75,1.73,41,41,0,27,5,0,323.0,241,74,62,19,77,4,317,0,0,7,1274,190,2.07,0.985,6.7,0.5,2.1,8.8,4.12,Left,No
2,1966,SP,Don Drysdale,29,13,16,0.448,3.42,40,40,0,11,3,0,273.2,279,114,104,21,45,8,177,17,1,7,1135,96,2.94,1.184,9.2,0.7,1.5,5.8,3.93,Right,No
3,1966,SP,Claude Osteen,26,17,14,0.548,2.85,39,38,1,8,3,0,240.1,238,92,76,6,65,13,137,2,0,5,1005,116,2.57,1.261,8.9,0.2,2.4,5.1,2.11,Left,No
4,1966,SP,Don Sutton,21,12,12,0.5,2.99,37,35,0,6,2,0,225.2,192,82,75,19,52,6,209,3,0,5,916,110,2.53,1.081,7.7,0.8,2.1,8.3,4.02,Right,No
5,1966,CL,Phil Regan,29,14,1,0.933,1.62,65,0,48,0,0,21,116.2,85,24,21,6,24,9,88,0,0,4,445,203,2.33,0.934,6.6,0.5,1.9,6.8,3.67,Right,No
6,1966,RP,Bob Miller,27,4,2,0.667,2.77,46,0,12,0,0,5,84.1,70,31,26,5,29,7,58,1,0,4,344,119,3.02,1.174,7.5,0.5,3.1,6.2,2.0,Right,No
7,1966,RP,Ron Perranoski,30,6,7,0.462,3.18,55,0,33,0,0,6,82.0,82,32,29,4,31,11,50,1,0,2,354,104,3.14,1.378,9.0,0.4,3.4,5.5,1.61,Left,No
8,1966,RP,Joe Moeller,23,2,4,0.333,2.52,29,8,7,0,0,0,78.2,73,31,22,4,14,8,31,3,0,4,326,131,3.08,1.106,8.4,0.5,1.6,3.5,2.21,Right,No
9,1966,RP,Jim Brewer,28,0,2,0.0,3.68,13,0,4,0,0,2,22.0,17,9,9,0,11,0,8,0,0,3,93,91,3.33,1.273,7.0,0.0,4.5,3.3,0.73,Left,No
10,1966,,Nick Willhite,25,0,0,0.0,2.08,6,0,3,0,0,0,4.1,3,1,1,0,5,0,4,0,1,1,19,175,4.17,1.846,6.2,0.0,10.4,8.3,0.8,Left,No
11,1966,,Bill Singer,22,0,0,0.0,0.0,3,0,2,0,0,0,4.0,4,0,0,0,2,0,4,0,1,0,16,0,2.05,1.5,9.0,0.0,4.5,9.0,2.0,Right,No
12,1966,,Howie Reed,29,0,0,0.0,0.0,1,0,0,0,0,0,1.2,1,0,0,0,0,0,0,0,0,0,6,0,2.55,0.6,5.4,0.0,0.0,0.0,0.0,Right,No
13,1966,,Johnny Podres,33,0,0,0.0,0.0,1,0,0,0,0,0,1.2,2,0,0,0,1,1,1,0,0,0,8,0,3.15,1.8,10.8,0.0,5.4,5.4,1.0,Left,No
1,1965,SP,Sandy Koufax,29,26,8,0.765,2.04,43,41,2,27,8,2,335.2,216,90,76,26,71,4,382,5,0,11,1297,160,1.93,0.855,5.8,0.7,1.9,10.2,5.38,Left,No
2,1965,SP,Don Drysdale,28,23,12,0.657,2.77,44,42,1,20,7,1,308.1,270,113,95,30,66,11,210,12,0,11,1262,118,3.18,1.09,7.9,0.9,1.9,6.1,3.18,Right,No
3,1965,SP,Claude Osteen,25,15,15,0.5,2.79,40,40,0,9,1,0,287.0,253,95,89,19,78,10,162,3,1,4,1169,117,3.1,1.153,7.9,0.6,2.4,5.1,2.08,Left,No
4,1965,SP,Johnny Podres,32,7,6,0.538,3.43,27,22,4,2,1,1,134.0,126,57,51,17,39,4,63,2,0,6,560,95,4.14,1.231,8.5,1.1,2.6,4.2,1.62,Left,No
5,1965,CL,Ron Perranoski,29,6,6,0.5,2.24,59,0,36,0,0,18,104.2,85,28,26,2,40,7,53,3,0,3,431,146,2.99,1.194,7.3,0.2,3.4,4.6,1.33,Left,No
6,1965,RP,Bob Miller,26,6,7,0.462,2.97,61,1,37,0,0,9,103.0,82,37,34,9,26,3,77,3,0,4,414,110,3.0,1.049,7.2,0.8,2.3,6.7,2.96,Right,No
7,1965,RP,Howie Reed,28,7,5,0.583,3.12,38,5,13,0,0,1,78.0,73,31,27,6,27,6,47,3,0,6,334,105,3.47,1.282,8.4,0.7,3.1,5.4,1.74,Right,No
8,1965,RP,Jim Brewer,27,3,2,0.6,1.82,19,2,5,0,0,2,49.1,33,13,10,1,28,4,31,0,0,2,198,180,3.23,1.236,6.0,0.2,5.1,5.7,1.11,Left,No
9,1965,RP,Nick Willhite,24,2,2,0.5,5.36,15,6,4,0,0,1,42.0,47,26,25,7,22,1,28,2,0,1,189,61,5.06,1.643,10.1,1.5,4.7,6.0,1.27,Left,No
10,1965,,John Purdin,22,2,1,0.667,6.75,11,2,1,0,0,0,22.2,26,19,17,8,13,3,16,0,0,2,106,49,7.41,1.721,10.3,3.2,5.2,6.4,1.23,Right,No
11,1965,,Mike Kekich,20,0,1,0.0,9.58,5,1,1,0,0,0,10.1,10,12,11,2,13,0,9,0,0,1,51,36,7.07,2.226,8.7,1.7,11.3,7.8,0.69,Left,No
12,1965,,Bill Singer,21,0,0,0.0,0.0,2,0,0,0,0,0,1.0,2,0,0,0,2,0,1,0,0,0,7,0,6.52,4.0,18.0,0.0,18.0,9.0,0.5,Right,No
1,1964,SP,Don Drysdale,27,18,16,0.529,2.18,40,40,0,21,5,0,321.1,242,91,78,15,68,9,237,10,1,11,1264,147,2.46,0.965,6.8,0.4,1.9,6.6,3.49,Right,No
2,1964,SP,Sandy Koufax,28,19,5,0.792,1.74,29,28,1,15,7,1,223.0,154,49,43,13,53,5,223,0,0,9,870,186,2.08,0.928,6.2,0.5,2.1,9.0,4.21,Left,No
3,1964,SP,Phil Ortega,24,7,9,0.438,4.0,34,25,3,4,3,1,157.1,149,74,70,22,56,2,107,6,1,1,675,81,4.24,1.303,8.5,1.3,3.2,6.1,1.91,Right,No
4,1964,SP,Joe Moeller,21,7,13,0.35,4.21,27,24,0,1,0,0,145.1,153,89,68,14,31,4,97,4,0,5,624,77,3.24,1.266,9.5,0.9,1.9,6.0,3.13,Right,No
5,1964,SP,Larry Miller,27,4,8,0.333,4.18,16,14,2,1,0,0,79.2,87,44,37,1,28,4,50,2,1,5,356,77,2.64,1.444,9.8,0.1,3.2,5.6,1.79,Left,No
6,1964,CL,Ron Perranoski,28,5,7,0.417,3.09,72,0,52,0,0,14,125.1,128,62,43,5,46,19,79,1,1,3,547,105,2.99,1.388,9.2,0.4,3.3,5.7,1.72,Left,No
7,1964,RP,Bob Miller,25,7,7,0.5,2.62,74,2,39,0,0,9,137.2,115,49,40,1,63,16,94,2,0,7,582,123,2.75,1.293,7.5,0.1,4.1,6.1,1.49,Right,No
8,1964,RP,Jim Brewer,26,4,3,0.571,3.0,34,5,11,1,1,1,93.0,79,33,31,5,25,5,63,0,0,3,374,108,2.76,1.118,7.6,0.5,2.4,6.1,2.52,Left,No
9,1964,RP,Howie Reed,27,3,4,0.429,3.2,26,7,8,0,0,1,90.0,79,34,32,4,36,9,52,0,0,1,377,101,3.23,1.278,7.9,0.4,3.6,5.2,1.44,Right,No
10,1964,,Nick Willhite,23,2,4,0.333,3.71,10,7,1,2,0,0,43.2,43,19,18,4,13,2,24,0,0,3,181,88,3.59,1.282,8.9,0.8,2.7,4.9,1.85,Left,No
11,1964,,Pete Richert,24,2,3,0.4,4.15,8,6,0,1,1,0,34.2,38,17,16,2,18,2,25,2,0,1,162,79,3.64,1.615,9.9,0.5,4.7,6.5,1.39,Left,No
12,1964,,John Purdin,21,2,0,1.0,0.56,3,2,0,1,1,0,16.0,6,1,1,1,6,0,8,0,0,0,58,589,3.54,0.75,3.4,0.6,3.4,4.5,1.33,Right,No
13,1964,,Bill Singer,20,0,1,0.0,3.21,2,2,0,0,0,0,14.0,11,5,5,0,12,1,3,0,0,1,64,103,4.75,1.643,7.1,0.0,7.7,1.9,0.25,Right,No
14,1964,,Johnny Podres,31,0,2,0.0,16.88,2,2,0,0,0,0,2.2,5,5,5,1,3,1,0,0,0,1,16,22,10.86,3.0,16.9,3.4,10.1,0.0,0.0,Left,No
1,1963,SP,Don Drysdale,26,19,17,0.528,2.63,42,42,0,17,3,0,315.1,287,114,92,25,57,13,251,10,0,4,1266,114,2.56,1.091,8.2,0.7,1.6,7.2,4.4,Right,No
2,1963,SP,Sandy Koufax,27,25,5,0.833,1.88,40,40,0,20,11,0,311.0,214,68,65,18,58,7,306,3,1,6,1210,159,1.85,0.875,6.2,0.5,1.7,8.9,5.28,Left,No
3,1963,SP,Johnny Podres,30,14,12,0.538,3.54,37,34,3,10,5,1,198.1,196,91,78,16,64,13,134,3,4,5,845,85,3.19,1.311,8.9,0.7,2.9,6.1,2.09,Left,No
4,1963,SP,Bob Miller,24,10,8,0.556,2.89,42,23,10,2,0,1,187.0,171,71,60,7,65,9,125,3,0,12,781,104,2.72,1.262,8.2,0.3,3.1,6.0,1.92,Right,No
5,1963,SP,Pete Richert,23,5,3,0.625,4.5,20,12,1,1,0,0,78.0,80,40,39,7,28,3,54,1,1,3,336,67,3.38,1.385,9.2,0.8,3.2,6.2,1.93,Left,No
6,1963,CL,Ron Perranoski,27,16,3,0.842,1.67,69,0,47,0,0,21,129.0,112,30,24,7,43,14,75,4,0,4,541,179,3.11,1.202,7.8,0.5,3.0,5.2,1.74,Left,No
7,1963,RP,Larry Sherry,27,2,6,0.25,3.73,36,3,18,0,0,3,79.2,82,43,33,8,24,4,47,4,0,3,349,81,3.66,1.331,9.3,0.9,2.7,5.3,1.96,Right,No
8,1963,RP,Dick Calmus,19,3,1,0.75,2.66,21,1,9,0,0,0,44.0,32,14,13,3,16,1,25,0,0,1,173,114,3.32,1.091,6.5,0.6,3.3,5.1,1.56,Right,No
9,1963,RP,Ed Roebuck,31,2,4,0.333,4.24,29,0,14,0,0,0,40.1,54,25,19,4,21,5,26,2,2,1,197,71,4.19,1.86,12.0,0.9,4.7,5.8,1.24,Right,No
10,1963,RP,Ken Rowe,29,1,1,0.5,2.93,14,0,4,0,0,1,27.2,28,16,9,2,11,3,12,1,0,2,122,104,3.85,1.41,9.1,0.7,3.6,3.9,1.09,Right,No
11,1963,,Nick Willhite,22,2,3,0.4,3.79,8,8,0,1,1,0,38.0,44,19,16,5,10,2,28,0,4,1,165,80,3.51,1.421,10.4,1.2,2.4,6.6,2.8,Left,No
12,1963,,Dick Scott,30,0,0,0.0,6.75,9,0,5,0,0,2,12.0,17,10,9,6,3,0,6,0,0,0,54,46,8.73,1.667,12.8,4.5,2.3,4.5,2.0,Left,No
13,1963,,Jack Smith,27,0,0,0.0,7.56,4,0,1,0,0,0,8.1,10,7,7,2,2,0,5,2,0,3,39,42,5.84,1.44,10.8,2.2,2.2,5.4,2.5,Right,No
14,1963,,Phil Ortega,23,0,0,0.0,18.0,1,0,0,0,0,0,1.0,2,2,2,1,0,0,1,0,0,0,5,25,13.48,2.0,18.0,9.0,0.0,9.0,0.0,Right,No
1,1962,SP,Don Drysdale,25,25,9,0.735,2.83,43,41,2,19,2,1,314.1,272,122,99,21,78,12,232,11,0,8,1289,128,2.86,1.113,7.8,0.6,2.2,6.6,2.97,Right,No
2,1962,SP,Johnny Podres,29,15,13,0.536,3.81,40,40,0,8,0,0,255.0,270,121,108,20,71,14,178,3,0,4,1083,95,3.11,1.337,9.5,0.7,2.5,6.3,2.51,Left,No
3,1962,SP,Stan Williams,25,14,12,0.538,4.46,40,28,5,4,1,0,185.2,184,104,92,16,98,11,108,0,3,7,838,81,4.16,1.519,8.9,0.8,4.8,5.2,1.1,Right,No
4,1962,SP,Sandy Koufax,26,14,7,0.667,2.54,28,26,2,11,2,1,184.1,134,61,52,13,57,4,216,2,0,3,744,143,2.15,1.036,6.5,0.6,2.8,10.5,3.79,Left,No
5,1962,SP,Joe Moeller,19,6,5,0.545,5.25,19,15,2,1,0,1,85.2,87,55,50,10,58,1,46,0,0,9,389,69,5.09,1.693,9.1,1.1,6.1,4.8,0.79,Right,No
6,1962,SP,Pete Richert,22,5,4,0.556,3.87,19,12,2,1,0,0,81.1,77,35,35,6,45,1,75,1,0,4,358,94,3.43,1.5,8.5,0.7,5.0,8.3,1.67,Left,No
7,1962,CL,Ron Perranoski,26,6,6,0.5,2.85,70,0,39,0,0,19,107.1,103,40,34,1,36,9,68,0,0,1,450,128,2.48,1.295,8.6,0.1,3.0,5.7,1.89,Left,No
8,1962,RP,Ed Roebuck,30,10,2,0.833,3.09,64,0,22,0,0,9,119.1,102,60,41,11,54,6,72,6,0,8,512,118,4.12,1.307,7.7,0.8,4.1,5.4,1.33,Right,No
9,1962,RP,Larry Sherry,26,7,3,0.7,3.2,58,0,36,0,0,11,90.0,81,40,32,8,44,5,71,6,1,6,395,114,3.86,1.389,8.1,0.8,4.4,7.1,1.61,Right,No
10,1962,RP,Phil Ortega,22,0,2,0.0,6.88,24,3,9,0,0,1,53.2,60,43,41,8,39,2,30,3,0,4,262,53,5.78,1.845,10.1,1.3,6.5,5.0,0.77,Right,No
11,1962,RP,Jack Smith,26,0,0,0.0,4.5,8,0,2,0,0,1,10.0,10,6,5,0,4,1,7,0,0,0,43,84,2.42,1.4,9.0,0.0,3.6,6.3,1.75,Right,No
12,1962,,Willard Hunter,27,0,0,0.0,40.5,1,0,0,0,0,0,2.0,6,10,9,1,4,0,1,0,0,0,17,11,14.12,5.0,27.0,4.5,18.0,4.5,0.25,Left,No
1,1961,SP,Sandy Koufax,25,18,13,0.581,3.52,42,35,2,15,2,1,255.2,212,117,100,27,96,6,269,3,2,12,1068,122,3.0,1.205,7.5,1.0,3.4,9.5,2.8,Left,No
2,1961,SP,Don Drysdale,24,13,10,0.565,3.69,40,37,2,10,3,0,244.0,236,111,100,29,83,15,182,20,1,7,1047,116,3.89,1.307,8.7,1.1,3.1,6.7,2.19,Right,No
3,1961,SP,Stan Williams,24,15,12,0.556,3.9,41,35,3,6,2,0,235.1,213,114,102,21,108,9,205,6,2,9,1008,110,3.45,1.364,8.1,0.8,4.1,7.8,1.9,Right,No
4,1961,SP,Johnny Podres,28,18,5,0.783,3.74,32,29,2,6,1,0,182.2,192,81,76,27,51,2,124,4,0,8,772,114,4.04,1.33,9.5,1.3,2.5,6.1,2.43,Left,No
5,1961,CL,Larry Sherry,25,4,4,0.5,3.9,53,1,34,0,0,15,94.2,90,48,41,10,39,9,79,4,0,6,404,110,3.64,1.363,8.6,1.0,3.7,7.5,2.03,Right,No
6,1961,RP,Roger Craig,31,5,6,0.455,6.15,40,14,7,2,0,2,112.2,130,87,77,22,52,7,63,4,1,7,513,70,5.49,1.615,10.4,1.8,4.2,5.0,1.21,Right,No
7,1961,RP,Ron Perranoski,25,7,5,0.583,2.65,53,1,15,0,0,6,91.2,82,31,27,5,41,7,56,4,1,4,393,162,3.53,1.342,8.1,0.5,4.0,5.5,1.37,Left,No
8,1961,RP,Turk Farrell,27,6,6,0.5,5.06,50,0,28,0,0,10,89.0,107,56,50,12,43,14,80,1,0,10,414,85,4.01,1.685,10.8,1.2,4.3,8.1,1.86,Right,No
9,1961,RP,Jim Golden,25,1,1,0.5,5.79,28,0,13,0,0,0,42.0,52,30,27,7,20,2,18,0,0,1,199,74,5.31,1.714,11.1,1.5,4.3,3.9,0.9,Right,No
10,1961,,Phil Ortega,21,0,2,0.0,5.54,4,2,2,1,0,0,13.0,10,9,8,6,2,0,15,0,0,0,50,79,6.73,0.923,6.9,4.2,1.4,10.4,7.5,Right,No
11,1961,,Ed Roebuck,29,2,0,1.0,5.0,5,0,3,0,0,0,9.0,12,5,5,1,2,0,9,0,0,0,39,89,2.69,1.556,12.0,1.0,2.0,9.0,4.5,Right,No
12,1961,,Ed Palmquist,28,0,1,0.0,6.23,5,0,3,0,0,1,8.2,10,8,6,0,7,0,5,2,0,2,43,71,4.54,1.962,10.4,0.0,7.3,5.2,0.71,Right,No
1,1960,SP,Don Drysdale,23,15,14,0.517,2.84,41,36,5,15,5,2,269.0,214,93,85,27,72,5,246,10,0,6,1083,139,2.92,1.063,7.2,0.9,2.4,8.2,3.42,Right,No
2,1960,SP,Johnny Podres,27,14,12,0.538,3.08,34,33,1,8,1,0,227.2,217,88,78,25,71,9,159,1,1,7,951,128,3.51,1.265,8.6,1.0,2.8,6.3,2.24,Left,No
3,1960,SP,Stan Williams,23,14,10,0.583,3.0,38,30,6,9,2,1,207.1,162,84,69,26,72,1,175,5,2,7,858,132,3.58,1.129,7.0,1.1,3.1,7.6,2.43,Right,No
4,1960,SP,Sandy Koufax,24,8,13,0.381,3.91,37,26,7,7,2,1,175.0,133,83,76,20,100,6,197,1,0,9,753,101,3.49,1.331,6.8,1.0,5.1,10.1,1.97,Left,No
5,1960,SP,Roger Craig,30,8,3,0.727,3.27,21,15,3,6,1,0,115.2,99,48,42,8,43,4,69,3,1,0,478,121,3.43,1.228,7.7,0.6,3.3,5.4,1.6,Right,No
6,1960,CL,Ed Roebuck,28,8,3,0.727,2.78,58,0,29,0,0,8,116.2,109,42,36,13,38,11,77,0,0,4,473,143,3.63,1.26,8.4,1.0,2.9,5.9,2.03,Right,No
7,1960,RP,Larry Sherry,24,14,10,0.583,3.79,57,3,38,1,0,7,142.1,125,65,60,14,82,15,114,6,0,6,622,104,4.06,1.454,7.9,0.9,5.2,7.2,1.39,Right,No
8,1960,RP,Danny McDevitt,27,0,4,0.0,4.25,24,7,7,0,0,0,53.0,51,26,25,7,42,3,30,6,0,4,248,94,5.83,1.755,8.7,1.2,7.1,5.1,0.71,Left,No
9,1960,RP,Ed Palmquist,27,0,1,0.0,2.54,22,0,4,0,0,0,39.0,34,16,11,6,16,5,23,1,0,1,162,157,4.66,1.282,7.8,1.4,3.7,5.3,1.44,Right,No
10,1960,RP,Clem Labine,33,0,1,0.0,5.82,13,0,6,0,0,1,17.0,26,12,11,1,8,3,15,0,0,0,81,69,2.94,2.0,13.8,0.5,4.2,7.9,1.88,Right,No
11,1960,,Ed Rakow,25,0,1,0.0,7.36,9,2,2,0,0,0,22.0,30,19,18,5,11,3,9,0,1,1,106,55,6.16,1.864,12.3,2.0,4.5,3.7,0.82,Right,No
12,1960,,Jim Golden,24,1,0,1.0,6.43,1,1,0,0,0,0,7.0,6,5,5,1,4,0,4,0,0,0,30,65,4.96,1.429,7.7,1.3,5.1,5.1,1.0,Right,No
13,1960,,Phil Ortega,20,0,0,0.0,17.05,3,1,0,0,0,0,6.1,12,12,12,1,5,0,4,0,0,0,37,25,5.68,2.684,17.1,1.4,7.1,5.7,0.8,Right,No
1,1959,SP,Don Drysdale,22,17,13,0.567,3.46,44,36,7,15,4,2,270.2,237,113,104,26,93,9,242,18,2,4,1142,122,3.23,1.219,7.9,0.9,3.1,8.0,2.6,Right,No
2,1959,SP,Johnny Podres,26,14,9,0.609,4.11,34,29,1,6,2,0,195.0,192,93,89,23,74,7,145,3,0,8,823,103,3.77,1.364,8.9,1.1,3.4,6.7,1.96,Left,No
3,1959,SP,Sandy Koufax,23,8,6,0.571,4.05,35,23,6,6,1,2,153.1,136,74,69,23,92,4,173,0,1,5,679,105,4.04,1.487,8.0,1.4,5.4,10.2,1.88,Left,No
4,1959,SP,Roger Craig,29,11,5,0.688,2.06,29,17,3,7,4,0,152.2,122,49,35,13,45,3,76,1,0,2,612,205,3.56,1.094,7.2,0.8,2.7,4.5,1.69,Right,No
5,1959,SP,Danny McDevitt,26,10,8,0.556,3.97,39,22,8,6,2,4,145.0,149,83,64,16,51,5,106,14,0,3,645,107,3.86,1.379,9.2,1.0,3.2,6.6,2.08,Left,No
6,1959,CL,Clem Labine,32,5,10,0.333,3.93,56,0,33,0,0,8,84.2,91,39,37,11,25,10,37,1,0,0,358,108,4.28,1.37,9.7,1.2,2.7,3.9,1.48,Right,No
7,1959,RP,Stan Williams,22,5,5,0.5,3.97,35,15,8,2,0,0,124.2,102,64,55,12,86,7,89,9,0,7,558,107,4.65,1.508,7.4,0.9,6.2,6.4,1.03,Right,No
